intervention_id,user_id,account_id,intervention_date,eligibility_flag,treatment_flag,delivery_channel
intv_0000206,user_0000500,acct_00046,2023-04-15,1,1,in_app
intv_0000207,user_0000501,acct_00046,2023-04-19,1,0,email
intv_0000208,user_0000502,acct_00046,2023-04-15,1,0,email
intv_0000209,user_0000505,acct_00046,2023-04-30,1,1,email
intv_0000210,user_0000506,acct_00046,2023-04-29,1,0,in_app
intv_0000211,user_0000507,acct_00046,2023-04-19,1,0,email
intv_0000212,user_0000509,acct_00046,2023-03-26,1,1,email
intv_0000213,user_0000510,acct_00046,2023-04-24,1,0,in_app
intv_0000214,user_0000513,acct_00046,2023-05-01,1,0,email
intv_0000215,user_0000515,acct_00046,2023-04-30,1,0,in_app
intv_0000216,user_0000518,acct_00046,2023-04-28,1,0,email
intv_0000217,user_0000519,acct_00046,2023-04-09,1,0,email
intv_0000218,user_0000525,acct_00046,2023-04-12,1,0,in_app
intv_0000219,user_0000526,acct_00046,2023-04-05,1,0,both
intv_0000220,user_0000527,acct_00046,2023-04-21,1,0,both
intv_0000221,user_0000528,acct_00046,2023-04-10,1,0,in_app
intv_0000222,user_0000530,acct_00046,2023-04-18,1,0,in_app
intv_0000223,user_0000534,acct_00046,2023-05-01,1,0,email
intv_0000224,user_0000536,acct_00046,2023-05-01,1,0,in_app
intv_0000225,user_0000537,acct_00046,2023-04-20,1,1,in_app
intv_0000226,user_0000539,acct_00046,2023-04-19,1,1,email
intv_0000227,user_0000541,acct_00046,2023-04-11,1,0,both
intv_0000228,user_0000543,acct_00046,2023-04-15,1,0,in_app
intv_0000229,user_0000545,acct_00047,2023-03-02,1,0,in_app
intv_0000230,user_0000546,acct_00047,2023-03-31,1,0,email
intv_0000231,user_0000547,acct_00047,2023-03-05,1,0,email
intv_0000232,user_0000548,acct_00047,2023-03-02,1,1,both
intv_0000233,user_0000551,acct_00047,2023-03-09,1,0,in_app
intv_0000234,user_0000552,acct_00047,2023-03-07,1,1,email
intv_0000235,user_0000554,acct_00047,2023-03-13,1,1,in_app
intv_0000236,user_0000555,acct_00047,2023-03-20,1,0,email
intv_0000237,user_0000557,acct_00047,2023-03-12,1,0,in_app
intv_0000238,user_0000558,acct_00047,2023-03-06,1,1,both
intv_0000239,user_0000563,acct_00047,2023-03-12,1,0,email
intv_0000240,user_0000574,acct_00047,2023-03-03,1,1,both
intv_0000241,user_0000576,acct_00047,2023-03-15,1,0,in_app
intv_0000242,user_0000577,acct_00047,2023-03-23,1,0,email
intv_0000243,user_0000578,acct_00047,2023-03-17,1,0,both
intv_0000244,user_0000580,acct_00047,2023-03-03,1,1,both
intv_0000245,user_0000583,acct_00048,2024-02-26,1,0,both
intv_0000246,user_0000584,acct_00048,2024-02-26,1,1,in_app
intv_0000247,user_0000586,acct_00048,2024-02-26,1,0,in_app
intv_0000248,user_0000590,acct_00049,2023-05-16,1,0,in_app
intv_0000249,user_0000591,acct_00049,2023-05-24,1,0,in_app
intv_0000250,user_0000601,acct_00051,2023-09-04,1,1,in_app
intv_0000251,user_0000602,acct_00051,2023-08-25,1,0,email
intv_0000252,user_0000604,acct_00051,2023-09-22,1,0,email
intv_0000253,user_0000605,acct_00051,2023-09-10,1,0,email
intv_0000254,user_0000606,acct_00051,2023-09-14,1,1,email
intv_0000255,user_0000609,acct_00051,2023-09-06,1,0,in_app
intv_0000256,user_0000613,acct_00051,2023-09-10,1,0,both
intv_0000257,user_0000615,acct_00051,2023-08-24,1,1,in_app
intv_0000258,user_0000616,acct_00051,2023-09-18,1,1,in_app
intv_0000259,user_0000619,acct_00052,2024-04-10,1,0,in_app
intv_0000260,user_0000626,acct_00053,2023-02-25,1,0,both
intv_0000261,user_0000627,acct_00053,2023-03-15,1,1,both
intv_0000262,user_0000629,acct_00053,2023-03-08,1,1,in_app
intv_0000263,user_0000631,acct_00054,2023-05-25,1,0,in_app
intv_0000264,user_0000632,acct_00054,2023-05-29,1,1,email
intv_0000265,user_0000634,acct_00054,2023-05-13,1,1,email
intv_0000266,user_0000635,acct_00054,2023-05-19,1,0,email
intv_0000267,user_0000641,acct_00054,2023-06-01,1,0,in_app
intv_0000268,user_0000643,acct_00054,2023-05-16,1,0,email
intv_0000269,user_0000644,acct_00054,2023-06-02,1,1,in_app
intv_0000270,user_0000645,acct_00054,2023-05-21,1,0,in_app
intv_0000271,user_0000646,acct_00055,2023-03-30,1,1,in_app
intv_0000272,user_0000651,acct_00055,2023-04-13,1,1,both
intv_0000273,user_0000652,acct_00055,2023-04-13,1,0,in_app
intv_0000274,user_0000653,acct_00055,2023-03-19,1,0,email
intv_0000275,user_0000658,acct_00056,2023-04-10,1,1,in_app
intv_0000276,user_0000661,acct_00056,2023-04-28,1,1,in_app
intv_0000277,user_0000663,acct_00056,2023-04-20,1,0,both
intv_0000278,user_0000666,acct_00056,2023-04-23,1,0,in_app
intv_0000279,user_0000667,acct_00056,2023-04-20,1,0,both
intv_0000280,user_0000669,acct_00056,2023-04-17,1,1,both
intv_0000281,user_0000672,acct_00056,2023-04-21,1,0,email
intv_0000282,user_0000673,acct_00057,2023-08-08,1,1,in_app
intv_0000283,user_0000674,acct_00057,2023-08-01,1,1,both
intv_0000284,user_0000675,acct_00057,2023-07-16,1,0,both
intv_0000285,user_0000677,acct_00058,2023-06-05,1,0,both
intv_0000286,user_0000679,acct_00058,2023-06-16,1,1,both
intv_0000287,user_0000680,acct_00058,2023-06-09,1,1,in_app
intv_0000288,user_0000681,acct_00059,2024-01-25,1,1,email
intv_0000289,user_0000685,acct_00059,2024-01-08,1,0,in_app
intv_0000290,user_0000686,acct_00059,2024-01-31,1,1,in_app
intv_0000291,user_0000687,acct_00059,2024-01-22,1,0,email
intv_0000292,user_0000689,acct_00059,2024-01-09,1,0,email
intv_0000293,user_0000692,acct_00060,2023-06-21,1,1,email
intv_0000294,user_0000700,acct_00062,2023-12-06,1,0,both
intv_0000295,user_0000703,acct_00062,2023-12-04,1,1,in_app
intv_0000296,user_0000706,acct_00062,2023-12-12,1,0,in_app
intv_0000297,user_0000707,acct_00063,2024-03-28,1,0,in_app
intv_0000298,user_0000710,acct_00063,2024-04-02,1,0,in_app
intv_0000299,user_0000712,acct_00063,2024-03-23,1,1,in_app
intv_0000300,user_0000715,acct_00063,2024-03-22,1,0,both
intv_0000301,user_0000718,acct_00063,2024-03-30,1,1,email
intv_0000302,user_0000719,acct_00063,2024-03-28,1,0,in_app
intv_0000303,user_0000721,acct_00063,2024-04-06,1,0,in_app
intv_0000304,user_0000722,acct_00063,2024-03-21,1,0,email
intv_0000305,user_0000723,acct_00063,2024-04-08,1,0,in_app
intv_0000306,user_0000725,acct_00063,2024-03-18,1,0,email
intv_0000307,user_0000727,acct_00064,2023-11-30,1,0,in_app
intv_0000308,user_0000729,acct_00065,2023-04-12,1,0,in_app
intv_0000309,user_0000731,acct_00066,2024-06-22,1,0,email
intv_0000310,user_0000733,acct_00066,2024-06-25,1,0,email
intv_0000311,user_0000734,acct_00066,2024-06-02,1,0,in_app
intv_0000312,user_0000736,acct_00066,2024-06-18,1,1,both
intv_0000313,user_0000737,acct_00066,2024-06-01,1,1,in_app
intv_0000314,user_0000738,acct_00066,2024-06-03,1,0,in_app
intv_0000315,user_0000740,acct_00066,2024-06-12,1,0,email
intv_0000316,user_0000744,acct_00066,2024-06-11,1,0,email
intv_0000317,user_0000752,acct_00066,2024-06-10,1,1,in_app
intv_0000318,user_0000753,acct_00067,2023-03-25,1,0,email
intv_0000319,user_0000756,acct_00067,2023-04-02,1,1,in_app
intv_0000320,user_0000757,acct_00067,2023-04-11,1,0,both
intv_0000321,user_0000758,acct_00067,2023-03-23,1,0,email
intv_0000322,user_0000759,acct_00067,2023-04-16,1,1,in_app
intv_0000323,user_0000763,acct_00068,2023-09-21,1,0,in_app
intv_0000324,user_0000766,acct_00068,2023-09-12,1,0,email
intv_0000325,user_0000776,acct_00069,2023-06-29,1,0,email
intv_0000326,user_0000780,acct_00069,2023-06-30,1,1,both
intv_0000327,user_0000784,acct_00069,2023-06-13,1,1,both
intv_0000328,user_0000787,acct_00070,2024-06-16,1,1,in_app
intv_0000329,user_0000788,acct_00070,2024-06-22,1,1,both
intv_0000330,user_0000791,acct_00070,2024-06-20,1,1,email
intv_0000331,user_0000794,acct_00071,2024-07-22,1,1,in_app
intv_0000332,user_0000797,acct_00072,2023-10-22,1,0,email
intv_0000333,user_0000804,acct_00072,2023-10-19,1,0,in_app
intv_0000334,user_0000805,acct_00072,2023-11-03,1,0,in_app
intv_0000335,user_0000810,acct_00072,2023-11-08,1,0,both
intv_0000336,user_0000813,acct_00072,2023-10-23,1,0,email
intv_0000337,user_0000818,acct_00072,2023-11-01,1,0,both
intv_0000338,user_0000819,acct_00072,2023-10-16,1,1,in_app
intv_0000339,user_0000823,acct_00073,2023-08-05,1,1,in_app
intv_0000340,user_0000826,acct_00073,2023-08-26,1,0,in_app
intv_0000341,user_0000828,acct_00073,2023-09-04,1,0,in_app
intv_0000342,user_0000833,acct_00075,2023-08-31,1,0,both
intv_0000343,user_0000834,acct_00075,2023-08-30,1,0,in_app
intv_0000344,user_0000836,acct_00075,2023-08-23,1,1,email
intv_0000345,user_0000837,acct_00075,2023-08-10,1,0,email
intv_0000346,user_0000839,acct_00075,2023-08-12,1,0,email
intv_0000347,user_0000840,acct_00075,2023-08-23,1,0,email
intv_0000348,user_0000841,acct_00075,2023-08-22,1,0,email
intv_0000349,user_0000844,acct_00075,2023-08-19,1,0,email
intv_0000350,user_0000846,acct_00075,2023-08-25,1,1,in_app
intv_0000351,user_0000847,acct_00075,2023-08-17,1,1,both
intv_0000352,user_0000848,acct_00075,2023-08-30,1,0,both
intv_0000353,user_0000849,acct_00075,2023-08-09,1,0,in_app
intv_0000354,user_0000851,acct_00075,2023-08-28,1,1,email
intv_0000355,user_0000853,acct_00076,2024-04-05,1,1,email
intv_0000356,user_0000854,acct_00076,2024-03-28,1,0,both
intv_0000357,user_0000855,acct_00076,2024-03-26,1,0,in_app
intv_0000358,user_0000860,acct_00076,2024-03-22,1,0,email
intv_0000359,user_0000862,acct_00076,2024-04-07,1,0,in_app
intv_0000360,user_0000863,acct_00077,2023-02-17,1,0,in_app
intv_0000361,user_0000866,acct_00077,2023-02-12,1,1,email
intv_0000362,user_0000867,acct_00077,2023-03-02,1,1,both
intv_0000363,user_0000874,acct_00078,2023-06-14,1,0,email
intv_0000364,user_0000876,acct_00078,2023-06-13,1,0,email
intv_0000365,user_0000877,acct_00078,2023-06-12,1,0,email
intv_0000366,user_0000878,acct_00078,2023-06-18,1,0,both
intv_0000367,user_0000880,acct_00078,2023-06-03,1,0,in_app
intv_0000368,user_0000881,acct_00078,2023-06-11,1,0,in_app
intv_0000369,user_0000883,acct_00078,2023-06-01,1,1,both
intv_0000370,user_0000889,acct_00078,2023-06-21,1,0,in_app
intv_0000371,user_0000890,acct_00078,2023-06-14,1,0,in_app
intv_0000372,user_0000891,acct_00078,2023-06-16,1,0,email
intv_0000373,user_0000892,acct_00078,2023-06-16,1,0,email
intv_0000374,user_0000893,acct_00079,2023-04-18,1,0,in_app
intv_0000375,user_0000895,acct_00079,2023-05-10,1,1,both
intv_0000376,user_0000898,acct_00080,2024-07-04,1,0,in_app
intv_0000377,user_0000899,acct_00080,2024-07-07,1,1,in_app
intv_0000378,user_0000904,acct_00080,2024-07-01,1,0,in_app
intv_0000379,user_0000911,acct_00081,2023-05-16,1,0,in_app
intv_0000380,user_0000913,acct_00082,2023-03-19,1,0,email
intv_0000381,user_0000916,acct_00082,2023-04-17,1,0,in_app
intv_0000382,user_0000920,acct_00082,2023-03-26,1,0,both
intv_0000383,user_0000922,acct_00082,2023-03-30,1,0,email
intv_0000384,user_0000924,acct_00082,2023-04-19,1,0,in_app
intv_0000385,user_0000928,acct_00083,2024-06-13,1,1,in_app
intv_0000386,user_0000929,acct_00083,2024-07-01,1,0,in_app
intv_0000387,user_0000932,acct_00083,2024-06-22,1,0,email
intv_0000388,user_0000936,acct_00083,2024-07-04,1,0,in_app
intv_0000389,user_0000937,acct_00084,2024-03-12,1,1,email
intv_0000390,user_0000938,acct_00084,2024-03-02,1,0,in_app
intv_0000391,user_0000942,acct_00084,2024-03-11,1,0,both
intv_0000392,user_0000944,acct_00084,2024-03-19,1,0,email
intv_0000393,user_0000949,acct_00084,2024-03-09,1,0,both
intv_0000394,user_0000952,acct_00085,2024-02-28,1,0,email
intv_0000395,user_0000954,acct_00085,2024-03-04,1,0,email
intv_0000396,user_0000955,acct_00085,2024-03-11,1,0,email
intv_0000397,user_0000961,acct_00085,2024-02-29,1,0,both
intv_0000398,user_0000963,acct_00085,2024-02-27,1,0,email
intv_0000399,user_0000965,acct_00085,2024-03-17,1,0,email
intv_0000400,user_0000968,acct_00085,2024-03-18,1,1,in_app
intv_0000401,user_0000972,acct_00085,2024-03-23,1,1,in_app
intv_0000402,user_0000973,acct_00085,2024-02-27,1,1,in_app
intv_0000403,user_0000974,acct_00085,2024-03-14,1,0,email
intv_0000404,user_0000978,acct_00085,2024-03-19,1,1,in_app
intv_0000405,user_0000979,acct_00085,2024-03-11,1,0,email
intv_0000406,user_0000981,acct_00086,2023-10-06,1,0,in_app
intv_0000407,user_0000983,acct_00086,2023-09-08,1,0,in_app
intv_0000408,user_0000987,acct_00086,2023-09-21,1,0,in_app
intv_0000409,user_0000988,acct_00086,2023-09-15,1,0,in_app
intv_0000410,user_0000990,acct_00087,2024-01-13,1,0,email
intv_0000411,user_0000993,acct_00087,2024-01-27,1,1,in_app
intv_0000412,user_0000996,acct_00087,2024-01-20,1,0,in_app
intv_0000413,user_0000998,acct_00087,2024-02-06,1,0,both
intv_0000414,user_0001004,acct_00087,2024-01-28,1,1,in_app
intv_0000415,user_0001005,acct_00087,2024-01-27,1,0,in_app
intv_0000416,user_0001008,acct_00087,2024-02-01,1,0,both
intv_0000417,user_0001011,acct_00087,2024-01-27,1,0,in_app
intv_0000418,user_0001012,acct_00087,2024-01-25,1,0,in_app
intv_0000419,user_0001019,acct_00087,2024-01-30,1,1,in_app
intv_0000420,user_0001020,acct_00087,2024-01-25,1,0,in_app
intv_0000421,user_0001021,acct_00087,2024-01-13,1,0,in_app
