account_id,account_created_date,plan_tier,industry,seat_count,cs_assigned_flag,account_health_score
acct_00030,2023-11-10,growth,SaaS,51,0,0.4234160373823184
acct_00031,2024-05-07,starter,FinTech,10,0,0.6702810242319104
acct_00032,2023-05-08,starter,FinTech,5,0,0.8674358400097716
acct_00033,2024-03-01,enterprise,Education,237,1,0.5628989419462265
acct_00034,2023-07-06,enterprise,Logistics,177,1,0.24315059388701638
acct_00035,2024-03-28,growth,Education,15,1,0.7005074507723286
acct_00036,2024-04-15,starter,Retail,4,0,0.7478099567175074
acct_00037,2023-08-12,starter,Logistics,10,0,0.3621231539421229
acct_00038,2023-06-03,growth,FinTech,37,0,0.6264726275494429
acct_00039,2023-12-17,starter,SaaS,16,0,0.6676839024204148
acct_00040,2023-05-27,starter,Manufacturing,16,0,0.5890339046986592
acct_00041,2023-12-15,starter,Logistics,6,0,0.48138436213719693
acct_00042,2023-07-01,starter,Retail,8,0,0.7523905835345334
acct_00043,2023-06-28,enterprise,FinTech,124,1,0.5394930381046976
acct_00044,2023-02-08,starter,Manufacturing,5,0,0.3772220755950102
acct_00045,2023-01-03,growth,Logistics,17,1,0.29257882714954786
acct_00046,2023-03-05,starter,Education,15,0,0.7891274279998964
acct_00047,2023-01-29,starter,Education,15,0,0.6924995964706677
acct_00048,2024-01-07,starter,Logistics,4,0,0.6131960320693753
acct_00049,2023-04-07,starter,Logistics,15,0,0.5339588044723794
acct_00050,2024-03-17,enterprise,Logistics,110,1,0.5206502378695309
acct_00051,2023-07-22,growth,Manufacturing,30,1,0.4386395027337583
acct_00052,2024-02-15,enterprise,Education,194,1,0.5352816533160173
acct_00053,2023-01-21,enterprise,SaaS,168,1,0.2819869177319738
acct_00054,2023-04-12,growth,Retail,48,1,0.48959045197972284
acct_00055,2023-02-15,enterprise,Retail,193,1,0.5533593725473359
acct_00056,2023-03-07,starter,FinTech,8,0,0.6914820070785628
acct_00057,2023-06-13,starter,Healthcare,4,0,0.5940110304939954
acct_00058,2023-04-21,starter,SaaS,4,0,0.7192384670813339
acct_00059,2023-12-04,starter,Education,15,0,0.8023702657670144
acct_00060,2023-05-03,starter,FinTech,17,0,0.7587255140736152
acct_00061,2024-03-22,starter,FinTech,4,0,0.6705764771067835
acct_00062,2023-10-18,growth,Logistics,53,0,0.6017794018771176
acct_00063,2024-02-16,starter,Healthcare,16,0,0.4528817987379661
acct_00064,2023-10-08,starter,Education,9,0,0.7109916077068974
acct_00065,2023-02-12,starter,Healthcare,9,0,0.8519621073332293
acct_00066,2024-04-30,starter,SaaS,3,0,0.6513159059475627
acct_00067,2023-02-20,growth,Healthcare,31,1,0.8875888722639185
acct_00068,2023-07-29,starter,FinTech,15,0,0.37116424379083746
acct_00069,2023-05-06,enterprise,Healthcare,70,1,0.42687549228306876
acct_00070,2024-05-06,growth,Healthcare,33,0,0.7282802261622394
acct_00071,2024-05-23,starter,Retail,19,0,0.6396435315229876
acct_00072,2023-09-15,starter,Education,12,0,0.797067326485771
acct_00073,2023-07-07,growth,Education,24,1,0.5976792538909891
acct_00074,2023-08-18,growth,FinTech,68,0,0.4698036866207502
acct_00075,2023-07-08,growth,Manufacturing,46,1,0.5679610136692436
acct_00076,2024-02-19,growth,Healthcare,64,1,0.3700974043614399
acct_00077,2023-01-10,starter,Healthcare,17,0,0.4307113990354448
acct_00078,2023-04-24,starter,Logistics,6,0,0.7458665996877015
acct_00079,2023-03-17,starter,Education,15,0,0.7309181121704414
acct_00080,2024-05-16,enterprise,Healthcare,108,1,0.6544506427209115
acct_00081,2023-03-26,growth,Education,22,0,0.3418383718559296
acct_00082,2023-02-18,starter,Healthcare,16,0,0.5462394636730667
acct_00083,2024-05-09,starter,Retail,4,0,0.4162500167009924
acct_00084,2024-01-22,starter,FinTech,4,0,0.7764799880681648
acct_00085,2024-01-24,starter,Education,13,0,0.5124416799656097
acct_00086,2023-08-06,growth,SaaS,63,0,0.43713784338276757
acct_00087,2023-12-12,growth,FinTech,40,1,0.6044694247682136
acct_00088,2023-08-18,enterprise,Logistics,263,1,0.5039768314748082
acct_00089,2023-09-12,starter,FinTech,8,0,0.822561586530556
acct_00090,2023-08-24,starter,Healthcare,19,0,0.48977836536987135
acct_00091,2023-01-26,growth,Logistics,64,0,0.3901157611163053
acct_00092,2023-09-18,growth,FinTech,20,0,0.27706297263637264
acct_00093,2023-09-28,growth,Logistics,78,0,0.5953820246379877
acct_00094,2023-05-03,growth,SaaS,25,1,0.515710482921311
acct_00095,2023-09-14,starter,FinTech,13,0,0.385664309023241
acct_00096,2024-02-25,starter,Education,11,0,0.7783839691883677
acct_00097,2023-09-16,starter,Education,4,0,0.7000867721143863
acct_00098,2023-02-16,starter,Manufacturing,14,0,0.5957673181594155
acct_00099,2023-07-27,starter,Healthcare,6,0,0.80464893662563
acct_00100,2023-11-07,starter,Logistics,6,0,0.6993804050097919
acct_00101,2023-05-29,growth,Manufacturing,29,1,0.47657161477223514
acct_00102,2024-03-13,starter,Manufacturing,19,0,0.44411697540138506
acct_00103,2023-06-04,starter,Retail,8,0,0.7226972316680792
acct_00104,2023-03-31,enterprise,Logistics,161,1,0.6594550434701026
acct_00105,2023-12-24,starter,Manufacturing,10,0,0.6254621651955993
acct_00106,2023-06-23,starter,Retail,7,0,0.4730253295696639
acct_00107,2023-08-05,growth,Manufacturing,31,1,0.6911921350508631
acct_00108,2024-03-31,starter,Healthcare,3,0,0.4866751675299076
acct_00109,2023-07-18,starter,SaaS,12,0,0.5847020018109483
acct_00110,2024-04-30,starter,Retail,17,0,0.817041621958047
acct_00111,2023-07-19,starter,SaaS,13,0,0.5008748646284781
acct_00112,2024-01-06,enterprise,Logistics,62,1,0.36405161143907083
acct_00113,2024-03-23,growth,Healthcare,47,0,0.44211792121948346
acct_00114,2023-09-05,growth,Retail,25,1,0.7491448240031435
acct_00115,2023-09-21,enterprise,Logistics,224,1,0.6382096706070314
acct_00116,2023-02-27,growth,Manufacturing,39,0,0.580668393196687
acct_00117,2023-10-29,starter,Education,14,0,0.5236359292032645
acct_00118,2023-01-31,enterprise,FinTech,86,1,0.6728039861329784
acct_00119,2024-05-12,starter,Logistics,12,0,0.4726342723514665
acct_00120,2023-09-06,growth,SaaS,31,0,0.6458498352963894
acct_00121,2023-09-28,enterprise,Healthcare,97,1,0.49031181467805646
acct_00122,2024-01-29,starter,Healthcare,9,0,0.4653510922087419
acct_00123,2024-05-16,starter,Logistics,11,0,0.5043768847762482
acct_00124,2023-03-25,starter,Manufacturing,5,0,0.5436888830274057
acct_00125,2023-12-31,starter,FinTech,17,0,0.5926755246099445
acct_00126,2023-12-08,growth,SaaS,32,1,0.6353183692666671
acct_00127,2024-02-11,enterprise,Logistics,276,1,0.1
acct_00128,2024-02-29,starter,Logistics,14,0,0.47885241633798525
acct_00129,2023-04-03,starter,Education,11,0,0.541264503396594
acct_00130,2024-02-16,starter,Healthcare,9,0,0.8257593057912495
acct_00131,2024-03-07,starter,SaaS,11,0,0.4379996087426802
acct_00132,2023-06-08,starter,FinTech,15,0,0.6244194927149869
acct_00133,2023-01-14,starter,Healthcare,7,0,0.8242545464603757
acct_00134,2024-01-08,enterprise,Logistics,186,1,0.403054720507909
acct_00135,2023-08-13,starter,Healthcare,6,0,0.6590962838796603
acct_00136,2024-05-19,starter,Healthcare,4,0,0.47965922490982194
acct_00137,2023-03-14,growth,Retail,30,0,0.5243049386566148
acct_00138,2023-09-06,starter,Healthcare,8,0,0.4795333749070028
acct_00139,2024-05-25,enterprise,Manufacturing,252,1,0.4902214037376171
acct_00140,2023-08-04,enterprise,Healthcare,103,1,0.95
acct_00141,2023-08-08,starter,Manufacturing,3,0,0.7266683808107498
acct_00142,2023-08-09,starter,SaaS,6,0,0.7652606792679313
acct_00143,2024-01-24,starter,Healthcare,15,0,0.6737990230254745
acct_00144,2023-02-11,starter,FinTech,11,0,0.3590614817397063
acct_00145,2023-10-10,starter,Manufacturing,15,0,0.659243695548496
acct_00146,2023-02-27,growth,Manufacturing,48,0,0.760939442176102
acct_00147,2023-03-14,starter,Logistics,10,0,0.47199007889413325
acct_00148,2023-05-09,starter,SaaS,9,0,0.744799000074169
acct_00149,2024-03-01,starter,Healthcare,6,0,0.7056504314781118
acct_00150,2023-05-05,enterprise,Education,67,1,0.8778060067220504
acct_00151,2023-03-08,starter,FinTech,5,0,0.5373325481229572
acct_00152,2023-01-06,starter,Logistics,8,0,0.435358352658641
acct_00153,2023-11-10,starter,SaaS,14,0,0.5457557835941181
acct_00154,2023-11-22,enterprise,Manufacturing,221,1,0.8153356489745435
acct_00155,2024-05-20,starter,FinTech,10,0,0.3257391178737055
acct_00156,2023-03-23,growth,Healthcare,68,0,0.28974364268534514
acct_00157,2023-01-02,growth,Education,35,0,0.613409291839742
acct_00158,2023-07-23,starter,Retail,5,0,0.5336116060838766
acct_00159,2024-02-08,growth,Retail,27,0,0.6011591839763527
acct_00160,2023-04-13,starter,SaaS,12,0,0.7417967656853798
acct_00161,2024-01-03,growth,Education,67,0,0.5171145980821721
acct_00162,2023-07-31,growth,FinTech,67,1,0.3190491253604069
acct_00163,2023-07-28,starter,Logistics,15,0,0.9066722335799916
acct_00164,2023-04-27,starter,FinTech,7,0,0.45041575688418356
acct_00165,2024-04-22,growth,Education,38,1,0.44114443169818535
acct_00166,2023-04-15,starter,Manufacturing,19,0,0.7655580020583894
acct_00167,2024-05-09,starter,Retail,6,0,0.5423266318437723
acct_00168,2023-02-15,starter,SaaS,16,0,0.5904915221947784
acct_00169,2023-11-27,growth,Healthcare,24,0,0.6724185186090477
acct_00170,2023-08-04,growth,FinTech,17,0,0.7625374654664994
acct_00171,2024-05-06,starter,Retail,19,0,0.5499808960227341
acct_00172,2024-03-24,starter,Logistics,14,0,0.8279928008871449
acct_00173,2024-05-25,starter,SaaS,13,0,0.27963002268977916
acct_00174,2024-04-02,growth,Healthcare,39,1,0.7139680855429615
acct_00175,2024-04-28,starter,FinTech,8,0,0.4740708662973514
acct_00176,2023-01-16,growth,Logistics,79,0,0.8058406974911987
acct_00177,2023-08-31,starter,Healthcare,18,0,0.6213066718245818
acct_00178,2023-07-26,enterprise,Manufacturing,224,1,0.49906420019858977
acct_00179,2023-09-28,starter,Retail,19,0,0.6994261639532449
acct_00180,2023-04-25,starter,Manufacturing,10,0,0.7339782520810877
acct_00181,2023-10-26,starter,Retail,14,0,0.6962841184287957
acct_00182,2024-04-27,enterprise,Logistics,76,1,0.4455455640550409
acct_00183,2024-02-01,enterprise,Manufacturing,295,1,0.5273974314566873
acct_00184,2024-01-29,starter,Retail,12,0,0.5993890744317847
acct_00185,2023-03-16,growth,SaaS,73,0,0.593811052102491
acct_00186,2024-04-26,growth,Logistics,46,0,0.7124618213157521
acct_00187,2023-04-13,growth,Retail,21,0,0.29776481512400876
acct_00188,2023-10-24,starter,FinTech,3,0,0.6501490581830255
acct_00189,2023-06-27,starter,Retail,9,0,0.556502796834504
acct_00190,2023-08-03,starter,Manufacturing,14,0,0.47422490754240715
acct_00191,2023-11-11,enterprise,SaaS,65,1,0.48862698333456006
acct_00192,2023-02-08,enterprise,Healthcare,257,1,0.5678193503223055
acct_00193,2023-09-16,growth,Healthcare,57,1,0.1
acct_00194,2023-01-07,starter,Retail,15,0,0.49480656438126747
acct_00195,2023-02-18,starter,Healthcare,9,0,0.46862777630305597
acct_00196,2023-06-10,growth,Retail,65,0,0.6799174813983936
acct_00197,2023-06-25,enterprise,SaaS,124,1,0.4791709976234219
acct_00198,2023-01-02,enterprise,Healthcare,57,1,0.5677329299744265
acct_00199,2024-03-30,growth,Manufacturing,59,0,0.8313414941491952
acct_00200,2023-10-03,growth,Manufacturing,18,1,0.7491527279723135
acct_00201,2024-05-12,starter,FinTech,11,0,0.7353407099915179
acct_00202,2023-01-28,starter,Retail,4,0,0.5250191354383722
acct_00203,2023-11-29,enterprise,Healthcare,275,1,0.6814548418934478
acct_00204,2023-01-01,growth,Manufacturing,42,0,0.5649153299319609
acct_00205,2023-07-07,starter,Education,14,0,0.5705860183984593
acct_00206,2023-02-25,starter,SaaS,6,0,0.6614528015619824
acct_00207,2023-04-22,growth,SaaS,23,0,0.5104509617368601
acct_00208,2023-11-06,starter,Education,13,0,0.8239504656664804
acct_00209,2023-02-05,starter,Education,17,0,0.5759804790603094
acct_00210,2024-03-14,starter,FinTech,8,0,0.6927540849389497
acct_00211,2023-11-21,growth,SaaS,28,0,0.8183400718885947
acct_00212,2023-11-03,growth,SaaS,71,1,0.7547480661862762
acct_00213,2023-04-19,starter,Healthcare,12,0,0.3886621345964213
acct_00214,2024-01-07,growth,Retail,59,0,0.6667343842514826
acct_00215,2023-12-23,starter,Logistics,15,0,0.727607909169097
acct_00216,2023-06-30,starter,SaaS,10,0,0.7337794533241123
acct_00217,2023-12-22,growth,SaaS,42,1,0.43300577488280534
acct_00218,2023-03-09,growth,Logistics,79,0,0.5014447144474014
acct_00219,2023-10-19,growth,SaaS,66,0,0.7491837353612432
acct_00220,2023-06-30,growth,Healthcare,68,0,0.48573594439760315
acct_00221,2024-04-10,growth,Healthcare,61,0,0.5550455915003528
acct_00222,2024-03-09,starter,Logistics,16,0,0.8363813714252953
acct_00223,2024-04-08,starter,Manufacturing,19,0,0.5928301124422815
acct_00224,2023-03-07,starter,SaaS,7,0,0.49098387932492354
acct_00225,2023-01-21,starter,Manufacturing,11,0,0.4683573964705642
acct_00226,2024-01-19,enterprise,SaaS,252,1,0.6499078994377782
acct_00227,2023-02-08,starter,Retail,3,0,0.40002779872841865
acct_00228,2023-10-12,enterprise,SaaS,227,1,0.5628996054155373
acct_00229,2023-12-02,growth,Healthcare,52,1,0.6499845802485033
acct_00230,2023-07-07,growth,FinTech,29,0,0.7948724730821501
acct_00231,2023-08-31,starter,Education,16,0,0.7001322120554994
acct_00232,2023-03-14,growth,FinTech,20,0,0.49289023230267315
acct_00233,2024-04-23,starter,FinTech,16,0,0.776762897634558
acct_00234,2023-04-11,starter,FinTech,12,0,0.5550727443678783
acct_00235,2024-05-28,growth,Education,60,0,0.41464454669258866
acct_00236,2023-06-25,starter,Manufacturing,5,0,0.5741937961101791
acct_00237,2023-08-26,starter,Education,8,0,0.8157253801718553
acct_00238,2023-02-28,growth,Manufacturing,22,0,0.6247860075097388
acct_00239,2023-04-09,starter,Education,13,0,0.6018782796494679
acct_00240,2024-05-09,enterprise,Education,157,1,0.845581746705428
acct_00241,2024-05-28,enterprise,SaaS,210,1,0.38529677294183595
acct_00242,2023-10-24,enterprise,Manufacturing,258,1,0.40716013289208414
acct_00243,2023-07-30,starter,SaaS,18,0,0.35762302935497514
acct_00244,2023-05-03,starter,Retail,13,0,0.6558972279720082
acct_00245,2023-08-17,enterprise,SaaS,126,1,0.6249739690672687
acct_00246,2024-01-23,starter,FinTech,13,0,0.8314104550919663
acct_00247,2023-05-20,enterprise,Logistics,144,1,0.6365212615705155
acct_00248,2024-01-26,enterprise,Logistics,205,1,0.5393764260781045
acct_00249,2023-09-27,enterprise,Healthcare,285,1,0.600269230931716
acct_00250,2023-01-12,starter,Healthcare,8,0,0.6176561127691437
acct_00251,2024-01-24,starter,SaaS,11,0,0.34923580900077494
acct_00252,2023-12-03,enterprise,Education,65,1,0.95
acct_00253,2024-05-20,starter,Education,6,0,0.6779806527152867
acct_00254,2023-04-16,starter,Logistics,2,0,0.6315012462033883
acct_00255,2023-02-01,growth,FinTech,62,0,0.692274597641787
acct_00256,2023-03-15,enterprise,Manufacturing,236,1,0.7064116470879908
acct_00257,2023-06-20,growth,FinTech,76,1,0.5789169771746352
acct_00258,2023-03-10,growth,FinTech,25,0,0.5053138295638949
acct_00259,2023-12-28,starter,SaaS,8,0,0.6899176029482555
acct_00260,2024-03-08,growth,SaaS,40,0,0.6578566260797178
acct_00261,2023-04-10,enterprise,Retail,157,1,0.47851648513658873
acct_00262,2023-01-09,starter,FinTech,4,0,0.8128553417050896
acct_00263,2023-01-29,starter,Education,19,0,0.6440028054484475
acct_00264,2023-04-24,enterprise,Education,156,1,0.7094729043401445
acct_00265,2024-04-06,growth,FinTech,57,1,0.8087881331519878
acct_00266,2023-05-23,growth,SaaS,48,1,0.6032833231747252
acct_00267,2024-01-25,growth,SaaS,27,1,0.6475428010476173
acct_00268,2023-06-06,starter,Retail,6,0,0.7215040857759174
acct_00269,2023-12-01,starter,Retail,17,0,0.49127083742999217
acct_00270,2023-09-17,growth,Healthcare,79,0,0.6081077494269002
acct_00271,2023-03-23,growth,Logistics,73,1,0.6188322879976722
acct_00272,2024-03-16,enterprise,FinTech,291,1,0.4565912172474908
acct_00273,2023-06-21,enterprise,Education,135,1,0.9476455183010817
acct_00274,2023-08-19,starter,FinTech,14,0,0.3889059834761396
acct_00275,2023-03-16,starter,Retail,11,0,0.4052844144469263
acct_00276,2023-09-27,growth,Retail,51,0,0.7971339863555369
acct_00277,2023-03-03,growth,Healthcare,42,0,0.7069899376194814
acct_00278,2023-11-16,growth,Logistics,57,0,0.4461052773778833
acct_00279,2023-04-12,growth,Healthcare,56,0,0.6910933522652539
acct_00280,2024-03-04,enterprise,Education,115,1,0.8201775667495964
acct_00281,2023-09-12,starter,Logistics,6,0,0.5954605413604521
acct_00282,2023-04-22,starter,Manufacturing,18,0,0.95
acct_00283,2023-11-09,starter,FinTech,7,0,0.34139072836979467
acct_00284,2024-04-05,growth,Healthcare,41,0,0.7040735180788653
acct_00285,2024-04-06,starter,Retail,5,0,0.7749792504331505
acct_00286,2023-04-02,starter,Healthcare,14,0,0.733701585240787
acct_00287,2023-02-21,starter,Manufacturing,15,0,0.5693466410031527
acct_00288,2023-04-08,starter,Healthcare,15,0,0.5564337776983276
acct_00289,2023-08-24,growth,FinTech,24,1,0.6666217756630886
acct_00290,2024-01-09,starter,Manufacturing,4,0,0.7223631729978104
acct_00291,2023-08-22,starter,Retail,3,0,0.6903710154423545
acct_00292,2023-02-01,growth,Retail,46,1,0.7560086836190083
acct_00293,2023-10-16,starter,SaaS,9,0,0.4471695064399897
acct_00294,2023-04-24,starter,Manufacturing,19,0,0.5658343531314548
acct_00295,2023-07-23,starter,SaaS,4,0,0.45899761018143687
acct_00296,2023-01-29,growth,SaaS,34,1,0.5420830835870787
acct_00297,2024-04-18,starter,FinTech,5,0,0.7522831337721457
acct_00298,2023-09-10,growth,Healthcare,31,1,0.6161975881087843
acct_00299,2024-01-21,starter,Retail,6,0,0.95
acct_00300,2023-03-03,starter,Retail,3,0,0.6290109550784575
acct_00301,2024-05-29,starter,Healthcare,3,0,0.6089537820869604
acct_00302,2024-03-05,starter,Retail,15,0,0.6159274379160324
acct_00303,2023-05-21,growth,Healthcare,33,0,0.5043286960710096
acct_00304,2023-10-27,growth,Manufacturing,23,1,0.5913245081433609
acct_00305,2023-11-07,enterprise,FinTech,90,1,0.7691682040667469
acct_00306,2024-04-15,starter,FinTech,11,0,0.6170956002191659
acct_00307,2024-01-28,starter,Education,5,0,0.48098104051747925
acct_00308,2024-03-20,growth,FinTech,79,0,0.46123730692820475
acct_00309,2023-06-21,starter,Healthcare,4,0,0.5324697162501235
acct_00310,2023-01-31,starter,Education,15,0,0.6110795151616321
acct_00311,2023-02-16,starter,Healthcare,10,0,0.7790379803214393
acct_00312,2023-05-10,starter,Logistics,6,0,0.3989267037950345
acct_00313,2023-12-18,enterprise,Education,246,1,0.5520260583166865
acct_00314,2023-02-27,growth,Retail,25,1,0.6216465029152618
acct_00315,2023-04-16,growth,Retail,35,1,0.3249441348555848
acct_00316,2023-11-26,starter,Logistics,15,0,0.474960257555039
acct_00317,2024-01-18,starter,Logistics,9,0,0.498016719039572
acct_00318,2023-06-11,starter,FinTech,17,0,0.48060444392242524
acct_00319,2023-10-13,starter,Logistics,9,0,0.6287834317532471
acct_00320,2023-03-12,starter,Healthcare,10,0,0.5759160585747304
acct_00321,2024-03-29,growth,SaaS,19,0,0.5167070846098445
acct_00322,2024-02-01,growth,Healthcare,15,1,0.6641943939828953
acct_00323,2024-05-29,starter,Education,17,0,0.8584612076469375
acct_00324,2023-01-26,enterprise,Logistics,291,1,0.8458884775112627
acct_00325,2023-11-09,growth,Retail,22,0,0.31158423419064957
acct_00326,2023-05-06,growth,Healthcare,33,1,0.6865608275752709
acct_00327,2024-02-12,growth,Retail,60,0,0.5732965064904242
acct_00328,2023-07-17,starter,Healthcare,6,0,0.6232733014298034
acct_00329,2023-07-07,starter,Retail,17,0,0.5402575449686177
acct_00330,2024-04-28,starter,Manufacturing,5,0,0.6176382944830803
acct_00331,2024-03-25,growth,Healthcare,51,0,0.6227111094108028
acct_00332,2023-12-20,starter,Education,17,0,0.5131572363976615
acct_00333,2023-04-10,starter,Retail,10,0,0.46554486782622284
acct_00334,2023-10-05,starter,SaaS,6,0,0.5326956476070773
acct_00335,2024-05-05,starter,Education,4,0,0.6351388896685148
acct_00336,2023-09-12,enterprise,FinTech,270,1,0.6898494512526396
acct_00337,2024-01-16,growth,Healthcare,38,0,0.7280023466010219
acct_00338,2023-09-21,starter,SaaS,6,0,0.5258714965399631
acct_00339,2023-11-25,starter,FinTech,5,0,0.6425766850954104
acct_00340,2023-04-25,starter,Healthcare,3,0,0.7443753887929947
acct_00341,2023-10-03,starter,SaaS,19,0,0.7748392342716192
acct_00342,2024-05-02,starter,SaaS,15,0,0.5911750718802716
acct_00343,2023-10-08,starter,Education,7,0,0.5668602412590581
acct_00344,2023-10-02,starter,Manufacturing,11,0,0.6286686350754588
acct_00345,2023-11-24,growth,SaaS,71,1,0.42754387906538915
acct_00346,2023-07-30,growth,Manufacturing,74,1,0.5709585733446738
acct_00347,2023-01-26,starter,Logistics,7,0,0.7116879597709694
acct_00348,2023-01-27,starter,Education,12,0,0.6962920694165552
acct_00349,2023-03-24,growth,Retail,54,0,0.5594598593454166
acct_00350,2024-02-17,starter,Education,8,0,0.6326577301630749
acct_00351,2023-06-16,enterprise,FinTech,134,1,0.47630244895639684
acct_00352,2023-06-18,growth,Retail,75,0,0.7055238222337537
acct_00353,2023-08-17,starter,Retail,17,0,0.588326784579529
acct_00354,2024-01-02,starter,Manufacturing,6,0,0.5586072822455792
acct_00355,2023-03-13,growth,Retail,52,1,0.545741424585992
acct_00356,2023-04-16,starter,SaaS,4,0,0.5905659199650213
acct_00357,2023-10-09,growth,Manufacturing,55,1,0.5328183532602062
acct_00358,2023-05-13,enterprise,Retail,136,1,0.6987214554003844
acct_00359,2023-09-26,growth,Manufacturing,72,0,0.5407074677975728
acct_00360,2024-02-16,starter,Logistics,7,0,0.8389446144041072
acct_00361,2023-01-18,growth,Manufacturing,39,0,0.8197815755222071
acct_00362,2023-04-27,starter,Healthcare,16,0,0.46626847652182424
acct_00363,2023-05-24,starter,SaaS,18,0,0.610455640414392
acct_00364,2024-02-26,enterprise,FinTech,168,1,0.5024015067995707
acct_00365,2024-01-04,starter,Healthcare,17,0,0.5510028655217083
acct_00366,2023-02-19,enterprise,Healthcare,167,1,0.9003641201467195
acct_00367,2023-04-16,enterprise,Healthcare,277,1,0.55386428743263
acct_00368,2023-08-04,starter,Retail,9,0,0.6540339055616143
acct_00369,2024-02-29,starter,Manufacturing,18,0,0.6811981941012417
acct_00370,2023-03-13,starter,Manufacturing,10,0,0.44990559412751385
acct_00371,2024-03-21,starter,Education,19,0,0.4717356788386192
acct_00372,2023-07-05,starter,Retail,18,0,0.4190966442887821
acct_00373,2023-03-11,growth,SaaS,73,0,0.46710438991533343
acct_00374,2023-05-30,starter,Retail,12,0,0.17249548360242267
acct_00375,2023-09-03,starter,Retail,12,0,0.6816873601190442
acct_00376,2023-04-09,growth,Retail,46,0,0.9081290761884104
acct_00377,2023-10-05,starter,SaaS,11,0,0.622173110855479
acct_00378,2024-03-30,growth,Education,25,1,0.3875596710989089
acct_00379,2023-04-14,starter,SaaS,19,0,0.5035835425650078
acct_00380,2023-08-21,starter,Logistics,6,0,0.5311684732462505
acct_00381,2024-01-29,growth,Education,62,0,0.44736228341799367
acct_00382,2024-05-15,growth,Logistics,39,0,0.7290273957592734
acct_00383,2023-09-08,enterprise,Logistics,150,1,0.7215390066563001
acct_00384,2023-03-20,growth,Logistics,79,1,0.426682230927351
acct_00385,2023-02-21,growth,Manufacturing,65,0,0.7087621566671262
acct_00386,2023-08-14,starter,Healthcare,11,0,0.8290218995365898
acct_00387,2023-02-20,starter,Healthcare,3,0,0.8853837307844339
acct_00388,2023-07-05,growth,Logistics,29,1,0.95
acct_00389,2023-02-03,growth,Logistics,15,0,0.4647011025835204
acct_00390,2023-05-11,enterprise,FinTech,171,1,0.95
acct_00391,2024-03-18,starter,Healthcare,9,0,0.5468690417236818
acct_00392,2024-03-07,starter,FinTech,19,0,0.5111301816929228
acct_00393,2024-05-11,growth,Education,48,1,0.6490608562316768
acct_00394,2024-02-07,starter,FinTech,11,0,0.5126907998860482
acct_00395,2023-11-19,enterprise,Retail,190,1,0.6598566210969788
acct_00396,2023-07-29,enterprise,Manufacturing,119,1,0.40198842183940475
acct_00397,2023-11-25,starter,Education,8,0,0.5641871096904848
acct_00398,2024-01-07,growth,SaaS,66,0,0.7928373351542519
acct_00399,2024-04-04,growth,Healthcare,77,1,0.5914408062853266
acct_00400,2023-05-13,starter,Logistics,18,0,0.6212393680109825
acct_00401,2023-05-01,enterprise,Education,224,1,0.6712887907075967
acct_00402,2024-03-27,starter,Logistics,15,0,0.7755992443976489
acct_00403,2023-05-09,growth,SaaS,69,1,0.35171629317158504
acct_00404,2023-04-01,starter,Education,19,0,0.6876786077756152
acct_00405,2023-01-29,enterprise,Healthcare,244,1,0.5597791291137355
acct_00406,2023-11-29,starter,Education,17,0,0.6249956842967758
acct_00407,2023-10-24,starter,Logistics,6,0,0.7589925254643564
