user_id,account_id,intervention_id,treatment_flag,outcome_observed_flag,collab_activated_flag,login_days_l7,login_days_30d,core_actions_30d,collab_actions_30d,time_spent_30d,feature_diversity_avg_30d,days_observed_30d,days_since_last_active,plan_tier,role_type
user_0000063,acct_00006,intv_0000026,0,1,1.0,1,10.0,42.0,1,251.0,1.1,10,2,starter,basic
user_0000068,acct_00006,intv_0000027,0,1,0.0,2,7.0,38.0,2,233.0,1.0,7,2,starter,basic
user_0000069,acct_00006,intv_0000028,0,1,0.0,1,7.0,38.0,0,228.0,1.0,7,2,starter,basic
user_0000073,acct_00007,intv_0000029,0,1,0.0,1,7.0,39.0,5,268.0,1.0,7,2,enterprise,basic
user_0000075,acct_00007,intv_0000030,0,1,0.0,3,9.0,46.0,0,258.0,1.0,9,2,enterprise,basic
user_0000077,acct_00008,intv_0000031,1,1,0.0,6,13.0,52.0,2,329.0,1.0769230769230769,13,2,growth,basic
user_0000082,acct_00008,intv_0000032,0,1,0.0,2,6.0,31.0,1,161.0,1.1666666666666667,6,1,growth,basic
user_0000086,acct_00009,intv_0000033,0,0,,3,9.0,33.0,1,248.0,1.1111111111111112,9,2,growth,basic
user_0000087,acct_00009,intv_0000034,0,1,0.0,3,12.0,61.0,2,368.0,1.0,12,3,growth,basic
user_0000093,acct_00010,intv_0000035,1,1,0.0,2,6.0,30.0,0,181.0,1.1666666666666667,6,1,starter,basic
user_0000097,acct_00010,intv_0000036,1,1,0.0,7,29.0,1770.0,0,6510.0,1.206896551724138,29,1,starter,power_user
user_0000098,acct_00010,intv_0000037,0,1,1.0,3,10.0,58.0,4,356.0,1.0,10,3,starter,basic
user_0000099,acct_00010,intv_0000038,0,1,1.0,4,16.0,83.0,6,489.0,1.0625,16,1,starter,basic
user_0000100,acct_00010,intv_0000039,0,1,1.0,5,26.0,1467.0,0,5661.0,1.0384615384615385,26,1,starter,basic
user_0000102,acct_00010,intv_0000040,0,1,0.0,2,9.0,41.0,2,260.0,1.1111111111111112,9,3,starter,basic
user_0000104,acct_00010,intv_0000041,0,1,0.0,4,9.0,52.0,5,309.0,1.0,9,1,starter,basic
user_0000107,acct_00010,intv_0000042,0,1,0.0,4,11.0,54.0,6,303.0,1.0909090909090908,11,1,starter,basic
user_0000108,acct_00010,intv_0000043,1,1,0.0,4,10.0,48.0,3,297.0,1.0,10,3,starter,basic
user_0000109,acct_00010,intv_0000044,0,1,0.0,2,6.0,31.0,3,192.0,1.1666666666666667,6,1,starter,basic
user_0000113,acct_00011,intv_0000045,0,1,1.0,3,11.0,53.0,3,321.0,1.0909090909090908,11,1,enterprise,basic
user_0000118,acct_00011,intv_0000046,1,1,0.0,1,9.0,48.0,2,266.0,1.0,9,3,enterprise,basic
user_0000119,acct_00011,intv_0000047,0,0,,1,8.0,47.0,3,291.0,1.0,8,3,enterprise,basic
user_0000122,acct_00012,intv_0000048,0,1,1.0,5,27.0,1552.0,0,5784.0,1.1851851851851851,27,3,growth,power_user
user_0000130,acct_00012,intv_0000049,0,1,0.0,1,10.0,53.0,3,274.0,1.0,10,2,growth,basic
user_0000131,acct_00012,intv_0000050,0,0,,2,8.0,50.0,4,308.0,1.0,8,3,growth,basic
user_0000133,acct_00012,intv_0000051,0,1,0.0,3,8.0,34.0,4,228.0,1.125,8,1,growth,basic
user_0000134,acct_00012,intv_0000052,0,1,1.0,5,11.0,67.0,0,390.0,1.1818181818181819,11,2,growth,basic
user_0000135,acct_00012,intv_0000053,0,1,0.0,2,8.0,28.0,9,170.0,1.125,8,3,growth,basic
user_0000137,acct_00012,intv_0000054,1,1,0.0,3,6.0,26.0,1,165.0,1.1666666666666667,6,2,growth,basic
user_0000142,acct_00012,intv_0000055,0,1,0.0,3,10.0,48.0,3,279.0,1.0,10,3,growth,basic
user_0000143,acct_00012,intv_0000056,0,1,0.0,1,7.0,42.0,2,251.0,1.0,7,2,growth,basic
user_0000146,acct_00012,intv_0000057,0,1,1.0,3,12.0,63.0,3,373.0,1.0833333333333333,12,3,growth,basic
user_0000147,acct_00012,intv_0000058,0,1,0.0,1,9.0,48.0,2,313.0,1.0,9,3,growth,basic
user_0000149,acct_00012,intv_0000059,0,1,0.0,1,10.0,32.0,0,213.0,1.1,10,1,growth,basic
user_0000151,acct_00012,intv_0000060,1,1,0.0,3,7.0,34.0,0,221.0,1.1428571428571428,7,2,growth,basic
user_0000155,acct_00013,intv_0000061,0,1,0.0,4,12.0,53.0,6,289.0,1.1666666666666667,12,1,starter,basic
user_0000156,acct_00013,intv_0000062,0,1,0.0,1,7.0,34.0,2,188.0,1.0,7,3,starter,basic
user_0000157,acct_00013,intv_0000063,0,1,1.0,2,8.0,38.0,4,219.0,1.0,8,3,starter,basic
user_0000160,acct_00013,intv_0000064,0,1,0.0,2,8.0,36.0,0,187.0,1.0,8,3,starter,basic
user_0000166,acct_00013,intv_0000065,0,1,0.0,2,12.0,69.0,1,409.0,1.1666666666666667,12,1,starter,basic
user_0000167,acct_00013,intv_0000066,0,1,0.0,1,6.0,40.0,1,215.0,1.0,6,2,starter,basic
user_0000168,acct_00013,intv_0000067,0,1,1.0,2,8.0,40.0,3,243.0,1.0,8,1,starter,basic
user_0000171,acct_00014,intv_0000068,0,1,0.0,3,10.0,56.0,1,332.0,1.2,10,2,starter,basic
user_0000173,acct_00015,intv_0000069,0,1,0.0,4,6.0,37.0,2,196.0,1.1666666666666667,6,3,starter,basic
user_0000177,acct_00015,intv_0000070,0,0,,2,9.0,51.0,0,330.0,1.0,9,3,starter,basic
user_0000179,acct_00016,intv_0000071,0,1,0.0,1,8.0,38.0,0,246.0,1.125,8,1,starter,basic
user_0000180,acct_00016,intv_0000072,1,1,0.0,3,8.0,39.0,2,221.0,1.0,8,1,starter,basic
user_0000185,acct_00016,intv_0000073,0,1,0.0,4,8.0,22.0,3,145.0,1.0,8,1,starter,basic
user_0000188,acct_00016,intv_0000074,1,1,1.0,1,10.0,49.0,2,300.0,1.2,10,3,starter,basic
user_0000189,acct_00016,intv_0000075,1,1,1.0,3,12.0,45.0,3,274.0,1.0833333333333333,12,2,starter,basic
user_0000197,acct_00017,intv_0000076,0,1,0.0,5,28.0,1664.0,0,6827.0,1.1428571428571428,28,3,starter,power_user
user_0000198,acct_00017,intv_0000077,1,1,0.0,2,13.0,73.0,3,422.0,1.0,13,3,starter,basic
user_0000199,acct_00017,intv_0000078,0,1,0.0,2,8.0,35.0,2,202.0,1.0,8,2,starter,basic
user_0000200,acct_00017,intv_0000079,1,1,0.0,7,30.0,1790.0,0,7041.0,1.2,30,1,starter,basic
user_0000204,acct_00017,intv_0000080,0,1,1.0,2,7.0,31.0,4,194.0,1.0,7,2,starter,basic
user_0000208,acct_00017,intv_0000081,1,1,0.0,1,8.0,42.0,0,255.0,1.0,8,3,starter,basic
user_0000210,acct_00018,intv_0000082,1,1,0.0,3,12.0,54.0,1,310.0,1.1666666666666667,12,1,starter,basic
user_0000211,acct_00018,intv_0000083,0,0,,6,28.0,1696.0,0,6162.0,1.1428571428571428,28,1,starter,basic
user_0000213,acct_00018,intv_0000084,0,1,0.0,3,10.0,48.0,7,288.0,1.0,10,3,starter,basic
user_0000215,acct_00018,intv_0000085,0,1,0.0,2,13.0,81.0,3,468.0,1.0,13,2,starter,basic
user_0000216,acct_00018,intv_0000086,1,1,0.0,4,8.0,41.0,4,239.0,1.125,8,2,starter,basic
user_0000218,acct_00018,intv_0000087,0,1,1.0,3,26.0,1519.0,0,6599.0,1.1923076923076923,26,3,starter,power_user
user_0000222,acct_00018,intv_0000088,0,1,0.0,3,7.0,32.0,0,205.0,1.0,7,3,starter,basic
user_0000223,acct_00019,intv_0000089,1,1,0.0,3,15.0,71.0,5,441.0,1.0,15,2,starter,basic
user_0000224,acct_00019,intv_0000090,0,1,0.0,2,9.0,41.0,1,241.0,1.0,9,2,starter,basic
user_0000225,acct_00019,intv_0000091,0,1,1.0,1,12.0,59.0,3,334.0,1.0,12,1,starter,basic
user_0000229,acct_00020,intv_0000092,0,1,0.0,2,9.0,49.0,3,283.0,1.0,9,3,growth,basic
user_0000230,acct_00020,intv_0000093,0,1,0.0,3,12.0,57.0,2,348.0,1.0,12,3,growth,basic
user_0000232,acct_00021,intv_0000094,0,1,0.0,2,8.0,55.0,3,309.0,1.125,8,1,starter,basic
user_0000235,acct_00021,intv_0000095,0,0,,2,10.0,51.0,0,326.0,1.0,10,1,starter,basic
user_0000236,acct_00021,intv_0000096,0,1,0.0,4,11.0,69.0,2,426.0,1.0909090909090908,11,2,starter,basic
user_0000238,acct_00021,intv_0000097,0,1,0.0,4,8.0,38.0,4,198.0,1.0,8,2,starter,basic
user_0000242,acct_00021,intv_0000098,0,1,0.0,4,10.0,45.0,8,286.0,1.1,10,1,starter,basic
user_0000243,acct_00021,intv_0000099,0,0,,2,10.0,45.0,4,257.0,1.2,10,3,starter,basic
user_0000244,acct_00021,intv_0000100,0,1,0.0,6,25.0,1462.0,0,5812.0,1.0,25,2,starter,basic
user_0000245,acct_00021,intv_0000101,0,0,,3,9.0,38.0,7,244.0,1.0,9,1,starter,basic
user_0000247,acct_00022,intv_0000102,0,0,,3,12.0,75.0,1,455.0,1.0,12,3,starter,basic
user_0000249,acct_00022,intv_0000103,1,0,,2,7.0,32.0,0,207.0,1.1428571428571428,7,2,starter,basic
user_0000251,acct_00022,intv_0000104,0,1,1.0,4,26.0,1613.0,0,6531.0,1.0769230769230769,26,3,starter,power_user
user_0000252,acct_00022,intv_0000105,0,1,0.0,3,11.0,56.0,7,331.0,1.1818181818181819,11,3,starter,basic
user_0000254,acct_00022,intv_0000106,0,1,0.0,4,10.0,43.0,2,270.0,1.1,10,1,starter,basic
user_0000256,acct_00022,intv_0000107,0,1,1.0,1,8.0,42.0,3,236.0,1.125,8,3,starter,basic
user_0000259,acct_00023,intv_0000108,0,1,0.0,2,8.0,43.0,3,247.0,1.125,8,3,starter,basic
user_0000260,acct_00023,intv_0000109,0,1,1.0,3,6.0,25.0,4,140.0,1.0,6,1,starter,basic
user_0000261,acct_00023,intv_0000110,0,1,0.0,2,9.0,39.0,3,219.0,1.0,9,1,starter,basic
user_0000262,acct_00023,intv_0000111,0,1,0.0,5,23.0,1405.0,0,5536.0,1.1304347826086956,23,2,starter,power_user
user_0000270,acct_00023,intv_0000112,0,1,0.0,4,11.0,74.0,6,433.0,1.0,11,1,starter,basic
user_0000272,acct_00024,intv_0000113,1,0,,1,7.0,39.0,4,214.0,1.0,7,2,starter,basic
user_0000273,acct_00024,intv_0000114,0,1,1.0,2,8.0,38.0,2,208.0,1.0,8,1,starter,basic
user_0000274,acct_00024,intv_0000115,1,1,0.0,6,27.0,1597.0,0,6223.0,1.037037037037037,27,2,starter,power_user
user_0000279,acct_00024,intv_0000116,0,1,0.0,6,29.0,1790.0,0,6815.0,1.0689655172413792,29,1,starter,basic
user_0000289,acct_00024,intv_0000117,0,1,1.0,6,28.0,1622.0,0,6294.0,1.1071428571428572,28,2,starter,admin
user_0000292,acct_00024,intv_0000118,1,1,0.0,6,28.0,1640.0,0,6435.0,1.1785714285714286,28,1,starter,basic
user_0000297,acct_00025,intv_0000119,0,1,0.0,3,11.0,44.0,3,271.0,1.1818181818181819,11,2,growth,basic
user_0000298,acct_00025,intv_0000120,0,1,0.0,2,11.0,72.0,1,430.0,1.0909090909090908,11,2,growth,basic
user_0000299,acct_00026,intv_0000121,0,1,0.0,3,10.0,52.0,5,311.0,1.2,10,2,starter,basic
user_0000304,acct_00026,intv_0000122,1,1,0.0,1,7.0,43.0,3,234.0,1.1428571428571428,7,1,starter,basic
user_0000309,acct_00027,intv_0000123,0,1,0.0,2,10.0,49.0,1,297.0,1.1,10,3,starter,basic
user_0000312,acct_00028,intv_0000124,1,1,0.0,3,9.0,47.0,2,284.0,1.1111111111111112,9,3,growth,basic
user_0000313,acct_00028,intv_0000125,0,1,0.0,5,24.0,1424.0,0,5876.0,1.0,24,3,growth,basic
user_0000321,acct_00028,intv_0000126,0,1,0.0,5,8.0,41.0,4,268.0,1.125,8,1,growth,basic
user_0000322,acct_00028,intv_0000127,1,1,0.0,2,8.0,34.0,1,205.0,1.125,8,3,growth,basic
user_0000324,acct_00028,intv_0000128,1,1,0.0,5,27.0,1606.0,0,6321.0,1.037037037037037,27,3,growth,admin
user_0000325,acct_00028,intv_0000129,0,1,1.0,1,7.0,37.0,3,222.0,1.1428571428571428,7,3,growth,basic
user_0000326,acct_00028,intv_0000130,0,1,0.0,3,10.0,51.0,2,304.0,1.1,10,2,growth,basic
user_0000327,acct_00028,intv_0000131,0,1,0.0,5,10.0,44.0,0,271.0,1.0,10,1,growth,basic
user_0000329,acct_00028,intv_0000132,0,1,0.0,2,7.0,28.0,2,182.0,1.1428571428571428,7,1,growth,basic
user_0000334,acct_00028,intv_0000133,0,1,0.0,3,9.0,49.0,2,264.0,1.1111111111111112,9,3,growth,basic
user_0000338,acct_00030,intv_0000134,0,1,0.0,5,14.0,64.0,3,357.0,1.1428571428571428,14,2,growth,basic
user_0000341,acct_00030,intv_0000135,0,0,,4,12.0,57.0,2,321.0,1.1666666666666667,12,1,growth,basic
user_0000342,acct_00030,intv_0000136,1,1,0.0,6,28.0,1757.0,0,7292.82,1.0357142857142858,28,2,growth,power_user
user_0000343,acct_00030,intv_0000137,1,1,0.0,1,9.0,44.0,7,241.0,1.1111111111111112,9,3,growth,basic
user_0000344,acct_00030,intv_0000138,0,1,0.0,2,6.0,30.0,2,175.0,1.1666666666666667,6,1,growth,basic
user_0000345,acct_00031,intv_0000139,0,1,0.0,3,7.0,40.0,4,205.0,1.0,7,1,starter,basic
user_0000346,acct_00031,intv_0000140,0,1,0.0,7,28.0,1772.0,0,6448.0,1.1071428571428572,28,1,starter,basic
user_0000349,acct_00031,intv_0000141,1,1,1.0,4,7.0,25.0,3,156.0,1.0,7,1,starter,basic
user_0000360,acct_00032,intv_0000142,0,1,0.0,3,11.0,70.0,2,392.0,1.1818181818181819,11,1,starter,basic
user_0000361,acct_00032,intv_0000143,1,1,1.0,1,7.0,30.0,1,197.0,1.0,7,2,starter,basic
user_0000363,acct_00032,intv_0000144,0,1,0.0,2,7.0,32.0,1,197.0,1.0,7,2,starter,basic
user_0000364,acct_00033,intv_0000145,0,1,0.0,3,13.0,60.0,1,334.0,1.0769230769230769,13,2,enterprise,basic
user_0000365,acct_00033,intv_0000146,0,1,1.0,3,11.0,44.0,1,277.0,1.1818181818181819,11,3,enterprise,basic
user_0000374,acct_00035,intv_0000147,0,1,0.0,2,6.0,43.0,1,212.0,1.0,6,2,growth,basic
user_0000377,acct_00035,intv_0000148,0,1,0.0,1,8.0,44.0,0,237.0,1.125,8,1,growth,basic
user_0000378,acct_00035,intv_0000149,0,0,,4,9.0,48.0,3,279.0,1.0,9,1,growth,basic
user_0000379,acct_00036,intv_0000150,1,1,0.0,3,9.0,44.0,5,269.0,1.1111111111111112,9,1,starter,basic
user_0000385,acct_00036,intv_0000151,0,1,0.0,3,12.0,73.0,9,420.0,1.0,12,3,starter,basic
user_0000390,acct_00036,intv_0000152,0,1,0.0,2,9.0,39.0,2,257.0,1.1111111111111112,9,1,starter,basic
user_0000393,acct_00036,intv_0000153,0,1,0.0,3,7.0,44.0,1,246.0,1.1428571428571428,7,1,starter,basic
user_0000396,acct_00036,intv_0000154,0,1,0.0,1,8.0,46.0,1,271.0,1.0,8,2,starter,basic
user_0000398,acct_00036,intv_0000155,0,1,1.0,5,28.0,1716.0,0,6922.0,1.0357142857142858,28,3,starter,basic
user_0000401,acct_00036,intv_0000156,0,1,0.0,4,8.0,38.0,1,232.0,1.125,8,2,starter,basic
user_0000402,acct_00036,intv_0000157,1,1,0.0,6,28.0,1683.0,0,6811.0,1.1071428571428572,28,2,starter,admin
user_0000403,acct_00036,intv_0000158,0,1,0.0,1,7.0,26.0,1,177.0,1.0,7,3,starter,basic
user_0000404,acct_00036,intv_0000159,1,1,0.0,2,8.0,31.0,0,163.0,1.125,8,3,starter,basic
user_0000406,acct_00036,intv_0000160,0,1,0.0,2,8.0,38.0,2,200.0,1.0,8,3,starter,basic
user_0000408,acct_00037,intv_0000161,0,1,0.0,1,7.0,33.0,0,208.0,1.1428571428571428,7,2,starter,basic
user_0000409,acct_00038,intv_0000162,0,1,0.0,1,5.0,23.0,3,132.0,1.0,5,3,growth,basic
user_0000411,acct_00038,intv_0000163,0,1,1.0,2,6.0,37.0,1,226.0,1.0,6,1,growth,basic
user_0000412,acct_00038,intv_0000164,0,1,0.0,2,10.0,36.0,1,229.0,1.0,10,2,growth,basic
user_0000417,acct_00039,intv_0000165,0,1,0.0,1,8.0,38.0,4,210.0,1.0,8,2,starter,basic
user_0000422,acct_00039,intv_0000166,0,1,1.0,3,13.0,71.0,5,418.0,1.1538461538461537,13,1,starter,basic
user_0000424,acct_00040,intv_0000167,0,1,1.0,7,29.0,1729.0,0,6718.0,1.1379310344827587,29,1,starter,power_user
user_0000425,acct_00040,intv_0000168,1,1,0.0,3,8.0,53.0,1,292.0,1.125,8,1,starter,basic
user_0000426,acct_00040,intv_0000169,1,1,1.0,2,8.0,37.0,5,208.0,1.0,8,3,starter,basic
user_0000428,acct_00040,intv_0000170,0,1,0.0,4,12.0,73.0,5,428.0,1.0833333333333333,12,1,starter,basic
user_0000429,acct_00040,intv_0000171,0,1,1.0,6,27.0,1638.0,0,6777.0,1.0740740740740742,27,2,starter,basic
user_0000435,acct_00041,intv_0000172,0,1,0.0,4,7.0,33.0,0,169.0,1.1428571428571428,7,2,starter,basic
user_0000437,acct_00041,intv_0000173,0,0,,3,12.0,64.0,4,352.0,1.0833333333333333,12,3,starter,basic
user_0000438,acct_00041,intv_0000174,1,1,0.0,5,14.0,74.0,3,433.0,1.1428571428571428,14,1,starter,basic
user_0000441,acct_00042,intv_0000175,0,1,1.0,4,10.0,56.0,0,333.0,1.1,10,2,starter,basic
user_0000442,acct_00042,intv_0000176,0,1,0.0,2,6.0,30.0,0,172.0,1.1666666666666667,6,3,starter,basic
user_0000444,acct_00042,intv_0000177,0,1,0.0,1,8.0,46.0,3,266.0,1.125,8,1,starter,basic
user_0000445,acct_00042,intv_0000178,0,1,0.0,1,7.0,41.0,6,218.0,1.0,7,2,starter,basic
user_0000446,acct_00042,intv_0000179,0,1,0.0,3,8.0,35.0,4,204.0,1.0,8,1,starter,basic
user_0000447,acct_00042,intv_0000180,0,1,1.0,4,10.0,53.0,2,305.0,1.1,10,2,starter,basic
user_0000448,acct_00042,intv_0000181,1,1,1.0,5,28.0,1671.0,0,7108.0,1.1071428571428572,28,3,starter,power_user
user_0000453,acct_00042,intv_0000182,0,1,0.0,3,10.0,51.0,4,324.0,1.2,10,2,starter,basic
user_0000458,acct_00042,intv_0000183,1,1,0.0,3,15.0,78.0,5,460.0,1.0,15,2,starter,basic
user_0000459,acct_00042,intv_0000184,1,1,0.0,5,9.0,46.0,3,252.0,1.1111111111111112,9,2,starter,basic
user_0000463,acct_00042,intv_0000185,1,1,0.0,7,30.0,1721.0,0,7085.0,1.0333333333333334,30,1,starter,power_user
user_0000465,acct_00043,intv_0000186,1,1,0.0,2,9.0,52.0,3,293.0,1.0,9,3,enterprise,basic
user_0000466,acct_00043,intv_0000187,0,1,0.0,2,10.0,41.0,7,238.0,1.1,10,3,enterprise,basic
user_0000467,acct_00043,intv_0000188,1,1,1.0,5,10.0,54.0,4,343.0,1.1,10,1,enterprise,basic
user_0000469,acct_00043,intv_0000189,1,1,0.0,4,10.0,49.0,1,292.0,1.1,10,1,enterprise,basic
user_0000473,acct_00043,intv_0000190,0,1,0.0,2,7.0,41.0,0,220.0,1.0,7,3,enterprise,basic
user_0000475,acct_00043,intv_0000191,1,1,0.0,6,29.0,1747.0,0,7267.0,1.1724137931034482,29,2,enterprise,power_user
user_0000476,acct_00043,intv_0000192,0,1,0.0,2,11.0,62.0,4,392.0,1.0,11,1,enterprise,basic
user_0000477,acct_00043,intv_0000193,0,1,0.0,4,11.0,55.0,0,304.0,1.0909090909090908,11,1,enterprise,basic
user_0000480,acct_00043,intv_0000194,0,1,0.0,1,6.0,25.0,2,170.0,1.0,6,3,enterprise,basic
user_0000482,acct_00043,intv_0000195,1,1,0.0,3,12.0,56.0,6,328.0,1.0,12,2,enterprise,basic
user_0000485,acct_00044,intv_0000196,1,1,1.0,5,12.0,72.0,1,453.0,1.0,12,1,starter,basic
user_0000486,acct_00044,intv_0000197,0,1,1.0,6,27.0,1572.0,0,5985.0,1.037037037037037,27,2,starter,basic
user_0000488,acct_00044,intv_0000198,1,1,1.0,4,10.0,42.0,2,260.0,1.1,10,1,starter,basic
user_0000491,acct_00044,intv_0000199,1,1,0.0,3,10.0,52.0,4,327.0,1.0,10,2,starter,basic
user_0000492,acct_00044,intv_0000200,0,0,,4,26.0,1642.0,0,6290.0,1.1153846153846154,26,2,starter,power_user
user_0000493,acct_00045,intv_0000201,0,1,1.0,3,10.0,42.0,2,252.0,1.1,10,1,growth,basic
user_0000495,acct_00045,intv_0000202,0,1,0.0,3,12.0,68.0,3,420.0,1.0833333333333333,12,2,growth,basic
user_0000496,acct_00045,intv_0000203,0,1,0.0,4,11.0,56.0,2,337.0,1.0909090909090908,11,2,growth,basic
user_0000498,acct_00046,intv_0000204,0,1,0.0,5,14.0,69.0,10,433.0,1.1428571428571428,14,1,starter,basic
user_0000499,acct_00046,intv_0000205,0,1,0.0,3,9.0,48.0,2,314.0,1.0,9,2,starter,basic
user_0000500,acct_00046,intv_0000206,1,1,0.0,5,28.0,1680.0,0,6715.0,1.0714285714285714,28,3,starter,basic
user_0000501,acct_00046,intv_0000207,0,1,0.0,4,10.0,40.0,2,202.0,1.1,10,2,starter,basic
user_0000502,acct_00046,intv_0000208,0,1,0.0,6,28.0,1588.0,0,6542.0,1.0357142857142858,28,2,starter,basic
user_0000505,acct_00046,intv_0000209,1,1,1.0,3,10.0,51.0,6,308.0,1.0,10,1,starter,basic
user_0000506,acct_00046,intv_0000210,0,1,1.0,7,30.0,1772.0,0,7292.82,1.0,30,1,starter,power_user
user_0000507,acct_00046,intv_0000211,0,1,0.0,2,9.0,39.0,4,236.0,1.1111111111111112,9,1,starter,basic
user_0000509,acct_00046,intv_0000212,1,1,1.0,3,11.0,56.0,2,310.0,1.0,11,2,starter,basic
user_0000510,acct_00046,intv_0000213,0,1,1.0,4,10.0,60.0,5,297.0,1.1,10,1,starter,basic
user_0000513,acct_00046,intv_0000214,0,1,1.0,4,27.0,1631.0,0,6363.0,1.1111111111111112,27,3,starter,power_user
user_0000515,acct_00046,intv_0000215,0,1,1.0,5,9.0,45.0,3,265.0,1.1111111111111112,9,1,starter,basic
user_0000518,acct_00046,intv_0000216,0,1,0.0,2,8.0,42.0,2,233.0,1.0,8,3,starter,basic
user_0000519,acct_00046,intv_0000217,0,1,1.0,1,8.0,43.0,3,231.0,1.0,8,1,starter,basic
user_0000525,acct_00046,intv_0000218,0,0,,3,10.0,53.0,4,319.0,1.0,10,1,starter,basic
user_0000526,acct_00046,intv_0000219,0,1,0.0,3,11.0,45.0,7,297.0,1.1818181818181819,11,1,starter,basic
user_0000527,acct_00046,intv_0000220,0,1,0.0,1,8.0,32.0,6,210.0,1.0,8,3,starter,basic
user_0000528,acct_00046,intv_0000221,0,0,,2,8.0,45.0,4,257.0,1.125,8,2,starter,basic
user_0000530,acct_00046,intv_0000222,0,1,0.0,1,8.0,41.0,7,252.0,1.0,8,1,starter,basic
user_0000534,acct_00046,intv_0000223,0,1,0.0,1,7.0,29.0,0,173.0,1.1428571428571428,7,3,starter,basic
user_0000536,acct_00046,intv_0000224,0,1,0.0,3,10.0,47.0,0,300.0,1.1,10,2,starter,basic
user_0000537,acct_00046,intv_0000225,1,1,1.0,7,28.0,1611.0,0,6098.0,1.0,28,1,starter,basic
user_0000539,acct_00046,intv_0000226,1,1,1.0,5,9.0,41.0,2,210.0,1.0,9,2,starter,basic
user_0000541,acct_00046,intv_0000227,0,1,0.0,2,11.0,50.0,1,294.0,1.0,11,2,starter,basic
user_0000543,acct_00046,intv_0000228,0,1,0.0,2,12.0,48.0,6,269.0,1.1666666666666667,12,3,starter,basic
user_0000545,acct_00047,intv_0000229,0,1,0.0,1,8.0,42.0,3,245.0,1.125,8,3,starter,basic
user_0000546,acct_00047,intv_0000230,0,1,0.0,3,9.0,44.0,3,268.0,1.0,9,2,starter,basic
